time_s,phase,leg,x_setpoint_mm,y_setpoint_mm,z_setpoint_mm,x_actual_mm,y_actual_mm,z_actual_mm,theta1_setpoint_deg,theta1_actual_deg,theta2_setpoint_deg,theta2_actual_deg
0.9833,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.819
1.0042,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.996,38.307,38.306,-56.688,-56.688
1.0042,WARMUP,FL,179.375,177.0,-220.0,179.548,177.0,-219.967,38.308,38.292,-56.719,-56.73
1.0042,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.892,38.366,38.36,-56.781,-56.795
1.0042,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.818
1.0208,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.993,38.308,38.308,-56.691,-56.691
1.0208,WARMUP,FL,179.375,177.0,-220.0,179.547,177.0,-219.965,38.31,38.293,-56.721,-56.733
1.0208,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.892,38.366,38.36,-56.781,-56.795
1.0208,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.819
1.0417,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.99,38.31,38.31,-56.694,-56.694
1.0417,WARMUP,FL,179.375,177.0,-220.0,179.547,177.0,-219.962,38.312,38.295,-56.724,-56.735
1.0417,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.892,38.366,38.36,-56.781,-56.795
1.0417,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.818
1.0625,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.987,38.312,38.312,-56.697,-56.697
1.0625,WARMUP,FL,179.375,177.0,-220.0,179.546,177.0,-219.959,38.313,38.297,-56.726,-56.738
1.0625,WARMUP,RR,-179.375,-177.0,-220.0,-179.309,-177.0,-219.892,38.367,38.36,-56.781,-56.796
1.0625,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.818
1.0833,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.984,38.314,38.314,-56.7,-56.7
1.0833,WARMUP,FL,179.375,177.0,-220.0,179.546,177.0,-219.957,38.315,38.298,-56.728,-56.74
1.0833,WARMUP,RR,-179.375,-177.0,-220.0,-179.308,-177.0,-219.892,38.367,38.36,-56.781,-56.796
1.0833,WARMUP,RL,-179.375,177.0,-220.0,-179.272,177.0,-219.872,38.369,38.365,-56.781,-56.818
1.1042,WARMUP,FR,179.375,-177.0,-220.0,179.39,-177.0,-219.981,38.316,38.315,-56.703,-56.703
